ID,Type,Age,Function,Representation,Position
matthias_platzeck,0,1953,1,Politik,1
ronald_pofalla,0,1959,1,Wirtschaft,1
barbara_praetorius,0,1964,1,Wissenschaft,1
stanislaw_tillich,0,1959,1,Politik,1
jutta_allmendinger,0,1956,1,Wissenschaft,1
antje_grothus,0,1964,1,Umwelt,1
gerda_hasselfeldt,0,1950,1,Politik,1
christine_herntier,0,1957,1,Politik,1
martin_kaiser,0,1966,1,Umwelt,1
steffen_kampeter,0,1963,1,Wirtschaft,1
stefan_kapferer,0,1965,1,Wirtschaft,1
dieter_kempf,0,1953,1,Wirtschaft,1
stefan_koerzell,0,1963,1,Gewerkschaft,1
michael_kreuzberg,0,1957,1,Politik,1
felix_matthes,0,1962,1,Wissenschaft,1
claudia_nemat,0,1968,1,Wirtschaft,1
kai_niebert,0,1979,1,Umwelt,1
annekatrin_niebuhr,0,1971,1,Wissenschaft,1
hans_joachim_schellnhuber,0,1950,1,Wissenschaft,1
drk,1,1863,-,-,-
greenpeace,1,1971,-,-,-
bda,1,1950,-,-,-
bdew,1,2007,-,-,-
bdi,1,1949,-,-,-
dgb,1,1949,-,-,-
telekom,1,1995,-,-,-
vku,1,1949,-,-,-
oeko_institut,1,1977,-,-,-
wzb,1,1969,-,-,-
buirer_fuer_buir,1,2006,-,-,-
spremberg,1,1301,-,-,-
htw_berlin,1,1994,-,-,-
uni_zuerich,1,1833,-,-,-
uni_kiel,1,1665,-,-,-
pik,1,1992,-,-,-
