ID,Name,Type,Position
1,Alexander Wehrle,Person,Vorstandsvorsitzender
2,Dr. Thomas Ignatzi,Person,Vorstand Finanzen
3,Rouven Kasper,Person,Vorstand Marketing
4,Fabian Wohlgemuth,Person,Vorstand Sport
5,Vorstand VfB Stuttgart 1893 AG,Gremium,Leitendes Gremium
6,Dietmar Allgaier,Person,Vorsitzender Aufsichtsrat
7,Peter Schymon,Person,Stellv. Vorsitzender
8,Lutz Meschke,Person,Stellv. Vorsitzender
9,Andreas Grupp,Person,Mitglied Aufsichtsrat
10,Beate Beck-Deharde,Person,Mitglied Aufsichtsrat
11,Tanja Gönner,Person,Mitglied Aufsichtsrat
12,Alexander Kläger,Person,Mitglied Aufsichtsrat
13,Tobias Röschl,Person,Mitglied Aufsichtsrat
14,Albrecht Reimold,Person,Mitglied Aufsichtsrat
15,Franz Reiner,Person,Mitglied Aufsichtsrat
16,Aufsichtsrat VfB Stuttgart 1893 AG,Gremium,Leitendes Kontrollgremium
